City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Pandan,PH,82.96,overcast clouds,14.0453,124.1694,Bonifacio Lodge
3,Balabac,PH,83.88,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
5,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
10,Alamosa,US,71.65,broken clouds,37.4695,-105.87,Best Western Alamosa Inn
11,Fairbanks,US,74.23,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
15,Bermeo,ES,76.86,scattered clouds,43.4209,-2.7215,Eco-Hotel Mundaka
17,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
22,Hithadhoo,MV,80.78,overcast clouds,-0.6,73.0833,Scoop Guest House
23,Asau,RO,81.52,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
25,Lompoc,US,74.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
26,El Alto,PE,71.26,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
28,Tarakan,ID,78.3,thunderstorm with rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
29,Guerrero Negro,MX,80.64,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
31,Hohhot,CN,70.09,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
32,Kawalu,ID,71.2,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
34,Ambon,ID,79.36,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
38,Kizukuri,JP,77.11,scattered clouds,40.8061,140.3861,Hotel memory
39,Nandikotkur,IN,84.74,overcast clouds,15.8667,78.2667,Shadhi Khana pGidyla rod
46,Atuona,PF,77.27,light rain,-9.8,-139.0333,Villa Enata
47,Gaoual,GN,80.11,moderate rain,11.75,-13.2,Hotel koliba
48,Hilo,US,71.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
49,Hamilton,US,78.42,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
50,Usagara,TZ,75.42,scattered clouds,-2.6833,33.0,Mishamo
55,Ashland,US,75.74,few clouds,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
58,Porto Santo,PT,80.31,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
60,Avarua,CK,78.85,haze,-21.2078,-159.775,Paradise Inn
66,Bacolod,PH,79.03,overcast clouds,10.6667,122.95,Planta Hotel & Residences
67,Portovelo,EC,77.41,scattered clouds,-3.7167,-79.6167,"Hotel ""Curipamba"""
70,Mandera,KE,82.45,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
74,Vila,PT,70.74,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
76,Atambua,ID,70.41,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
80,La Ronge,CA,80.82,smoke,55.1001,-105.2842,Northland Motor Hotel
82,Marsh Harbour,BS,84.94,moderate rain,26.5412,-77.0636,Abaco Beach Resort
85,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
86,Tateyama,JP,80.98,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
89,Bengkulu,ID,75.33,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
90,Nara,JP,82.26,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
91,Torbay,CA,76.28,scattered clouds,47.6666,-52.7314,Gallows Cove
92,Buta,CD,77.47,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
93,Jamestown,US,72.3,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
96,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
97,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
100,Aguimes,ES,77.67,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
102,San Quintin,MX,78.1,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
103,High Rock,BS,84.22,moderate rain,26.6208,-78.2833,Hideaway Bahamas Beach Club
104,Shashi,CN,79.99,light rain,30.3072,112.2447,Xingyu Hotel
106,Palmer,US,76.75,scattered clouds,42.1584,-72.3287,Wedgewood Motel
107,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
110,Ribeira Grande,PT,79.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
116,Saint Anthony,US,82.11,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
118,Yima,CN,72.59,clear sky,34.7381,111.8839,Yima Hotel
119,Butaritari,KI,82.58,light rain,3.0707,172.7902,Isles Sunset Lodge
125,Oussouye,SN,82.49,moderate rain,12.485,-16.5469,Auberge du Routard
128,Hasaki,JP,79.09,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
