City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vardo,NO,70.3705,31.1107,53.35,81,0,2.3,clear sky
1,Pandan,PH,14.0453,124.1694,82.96,76,100,14.52,overcast clouds
2,Manyana,BW,-23.4,21.7167,60.82,20,0,6.17,clear sky
3,Balabac,PH,7.9868,117.0645,83.88,78,100,16.89,overcast clouds
4,Hokitika,NZ,-42.7167,170.9667,46.67,89,100,9.46,light rain
5,San Cristobal,VE,7.7669,-72.225,80.78,70,100,7.74,overcast clouds
6,Vaini,TO,-21.2,-175.2,68.16,77,20,10.36,few clouds
7,Barrow,US,71.2906,-156.7887,44.62,81,90,10.36,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,46.06,53,40,4.61,light rain
9,Nanortalik,GL,60.1432,-45.2371,46.92,85,91,2.68,overcast clouds
10,Alamosa,US,37.4695,-105.87,71.65,72,75,3.44,broken clouds
11,Fairbanks,US,64.8378,-147.7164,74.23,73,1,3.44,clear sky
12,Myaundzha,RU,63.0494,147.1858,34.99,82,36,3.38,scattered clouds
13,Chuy,UY,-33.6971,-53.4616,58.68,74,31,6.73,scattered clouds
14,Saskylakh,RU,71.9167,114.0833,62.11,74,43,6.78,scattered clouds
15,Bermeo,ES,43.4209,-2.7215,76.86,67,28,6.33,scattered clouds
16,Ulma,DE,48.3984,9.9916,69.69,71,23,3.0,few clouds
17,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,68,20,17.27,few clouds
18,Wanaka,NZ,-44.7,169.15,39.15,94,100,5.35,overcast clouds
19,Geraldton,AU,-28.7667,114.6,46.81,87,5,9.22,clear sky
20,La Tijera,MX,19.9,-104.4,74.25,56,49,1.36,scattered clouds
21,Henties Bay,NA,-22.116,14.2845,71.85,64,0,3.0,clear sky
22,Hithadhoo,MV,-0.6,73.0833,80.78,75,95,5.39,overcast clouds
23,Asau,RO,46.4333,26.4,81.52,77,41,4.7,scattered clouds
24,Khatanga,RU,71.9667,102.5,62.96,65,98,10.16,overcast clouds
25,Lompoc,US,34.6391,-120.4579,74.84,75,1,3.44,clear sky
26,El Alto,PE,-4.2714,-81.2147,71.26,62,1,14.99,clear sky
27,Chiredzi,ZW,-21.05,31.6667,68.95,24,0,6.13,clear sky
28,Tarakan,ID,3.3,117.6333,78.3,94,75,17.27,thunderstorm with rain
29,Guerrero Negro,MX,27.9769,-114.0611,80.64,53,0,6.55,clear sky
30,Busselton,AU,-33.65,115.3333,46.09,74,91,5.44,overcast clouds
31,Hohhot,CN,40.8106,111.6522,70.09,56,0,4.47,clear sky
32,Kawalu,ID,-7.3817,108.2082,71.2,97,79,1.66,broken clouds
33,Punta Arenas,CL,-53.15,-70.9167,44.71,61,20,25.32,few clouds
34,Ambon,ID,-3.6954,128.1814,79.36,84,40,7.29,scattered clouds
35,Bokovskaya,RU,49.229,41.8306,86.49,32,64,3.18,broken clouds
36,Mujiayingzi,CN,42.1167,118.7833,63.86,91,100,2.19,overcast clouds
37,Adrar,MR,20.5022,-10.0711,100.81,23,15,10.47,few clouds
38,Kizukuri,JP,40.8061,140.3861,77.11,89,47,1.36,scattered clouds
39,Nandikotkur,IN,15.8667,78.2667,84.74,52,92,18.1,overcast clouds
40,Cape Town,ZA,-33.9258,18.4232,63.01,76,0,1.01,clear sky
41,Santa Maria,BR,-29.6842,-53.8069,49.3,93,90,4.61,overcast clouds
42,Mufulira,ZM,-12.5498,28.2407,66.13,34,53,2.17,broken clouds
43,Bluff,NZ,-46.6,168.3333,44.8,67,100,12.57,overcast clouds
44,Hobart,AU,-42.8794,147.3294,48.25,81,100,4.0,overcast clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,58.08,46,0,15.99,clear sky
46,Atuona,PF,-9.8,-139.0333,77.27,77,41,17.74,light rain
47,Gaoual,GN,11.75,-13.2,80.11,89,75,7.52,moderate rain
48,Hilo,US,19.7297,-155.09,71.8,87,90,6.91,light rain
49,Hamilton,US,39.1834,-84.5333,78.42,60,20,1.01,few clouds
50,Usagara,TZ,-2.6833,33.0,75.42,42,31,1.45,scattered clouds
51,Fortuna,US,40.5982,-124.1573,54.52,100,90,0.0,overcast clouds
52,Mataura,NZ,-46.1927,168.8643,44.47,96,100,3.47,overcast clouds
53,Platanos,GR,37.6667,21.6167,102.7,36,0,7.61,clear sky
54,Port Alfred,ZA,-33.5906,26.891,57.83,78,75,15.68,broken clouds
55,Ashland,US,40.8167,-82.2665,75.74,64,14,7.9,few clouds
56,Chandbali,IN,20.7833,86.7667,85.8,73,100,9.17,overcast clouds
57,Albany,US,42.6001,-73.9662,75.02,66,26,1.99,scattered clouds
58,Porto Santo,PT,33.072,-16.3415,80.31,73,40,16.11,scattered clouds
59,Mount Gambier,AU,-37.8333,140.7667,44.51,100,75,8.05,light intensity shower rain
60,Avarua,CK,-21.2078,-159.775,78.85,89,75,18.41,haze
61,Melbourne,US,28.0836,-80.6081,95.02,69,75,9.22,broken clouds
62,Sur,OM,22.5667,59.5289,90.75,55,8,10.27,clear sky
63,Bredasdorp,ZA,-34.5322,20.0403,58.32,88,38,10.36,scattered clouds
64,Purranque,CL,-40.9167,-73.1667,49.66,65,47,0.29,scattered clouds
65,Saint-Augustin,CA,51.226,-58.6502,65.39,71,80,14.29,broken clouds
66,Bacolod,PH,10.6667,122.95,79.03,88,92,12.82,overcast clouds
67,Portovelo,EC,-3.7167,-79.6167,77.41,38,25,10.49,scattered clouds
68,Carnarvon,AU,-24.8667,113.6333,50.07,42,0,11.5,clear sky
69,Rikitea,PF,-23.1203,-134.9692,68.61,56,71,23.13,broken clouds
70,Mandera,KE,3.9366,41.867,82.45,49,96,19.37,overcast clouds
71,Mana,GF,5.6592,-53.7767,86.36,58,28,8.34,scattered clouds
72,Tupancireta,BR,-29.0806,-53.8358,60.04,48,0,5.03,clear sky
73,Airai,TL,-8.9266,125.4092,56.59,79,63,2.82,broken clouds
74,Vila,PT,42.0304,-8.1588,70.74,40,56,6.11,broken clouds
75,Provideniya,RU,64.3833,-173.3,44.42,97,100,11.52,moderate rain
76,Atambua,ID,-9.1061,124.8925,70.41,88,64,5.32,broken clouds
77,Beaucaire,FR,43.8081,4.6442,85.19,36,0,11.5,clear sky
78,Victoria,HK,22.2855,114.1577,86.38,85,100,5.99,overcast clouds
79,Tuatapere,NZ,-46.1333,167.6833,44.82,83,100,5.61,overcast clouds
80,La Ronge,CA,55.1001,-105.2842,80.82,44,40,4.61,smoke
81,Vostok,RU,46.4856,135.8833,65.01,92,49,2.53,scattered clouds
82,Marsh Harbour,BS,26.5412,-77.0636,84.94,72,100,11.07,moderate rain
83,Kargil,IN,34.5667,76.1,62.29,45,43,7.81,scattered clouds
84,New Norfolk,AU,-42.7826,147.0587,47.91,81,99,1.25,overcast clouds
85,Kahului,US,20.8947,-156.47,77.85,84,40,16.11,scattered clouds
86,Tateyama,JP,34.9833,139.8667,80.98,88,95,10.85,overcast clouds
87,Grand Gaube,MU,-20.0064,57.6608,67.37,65,0,3.0,clear sky
88,Alihe,CN,50.5667,123.7167,57.51,96,99,0.49,overcast clouds
89,Bengkulu,ID,-3.8004,102.2655,75.33,90,50,3.04,scattered clouds
90,Nara,JP,34.6851,135.8049,82.26,94,90,4.36,overcast clouds
91,Torbay,CA,47.6666,-52.7314,76.28,50,40,11.5,scattered clouds
92,Buta,CD,2.7858,24.73,77.47,68,100,2.21,overcast clouds
93,Jamestown,US,42.097,-79.2353,72.3,56,40,5.01,scattered clouds
94,East London,ZA,-33.0153,27.9116,58.14,82,20,5.75,few clouds
95,Velyka Lepetykha,UA,47.1757,33.9436,86.23,47,1,11.81,clear sky
96,Georgetown,MY,5.4112,100.3354,83.89,81,20,2.3,few clouds
97,Puerto Ayora,EC,-0.7393,-90.3518,76.96,80,86,11.92,overcast clouds
98,Teguldet,RU,57.3064,88.1667,55.24,82,45,1.92,scattered clouds
99,Pervomayskoye,RU,43.919,46.7102,79.03,42,29,8.21,scattered clouds
100,Aguimes,ES,27.9054,-15.4461,77.67,57,20,32.21,few clouds
101,Port Hedland,AU,-20.3167,118.5667,60.85,23,1,10.36,clear sky
102,San Quintin,MX,30.4833,-115.95,78.1,59,10,11.01,clear sky
103,High Rock,BS,26.6208,-78.2833,84.22,68,100,7.92,moderate rain
104,Shashi,CN,30.3072,112.2447,79.99,93,2,7.49,light rain
105,Leningradskiy,RU,69.3833,178.4167,32.65,98,100,11.14,light snow
106,Palmer,US,42.1584,-72.3287,76.75,58,40,3.0,scattered clouds
107,Mahajanga,MG,-15.7167,46.3167,75.22,73,20,5.75,few clouds
108,Vao,NC,-22.6667,167.4833,66.06,67,9,8.25,clear sky
109,San Patricio,US,28.017,-97.5169,92.88,41,67,5.3,broken clouds
110,Ribeira Grande,PT,38.5167,-28.7,79.2,73,40,10.36,scattered clouds
111,Severo-Kurilsk,RU,50.6789,156.125,50.67,86,89,19.84,overcast clouds
112,Kiliya,UA,45.4552,29.2637,97.36,52,0,16.42,clear sky
